dataset_id,current_name,proposed_name,change_type,owner_name
60522f4f-b1ca-4d44-a91f-2720e86cf0fd, TEMP - Vistar Diagnostic Insights - Q3 2024,DEV - Vistar Diagnostic Insights - Q3 2024,"strip_whitespace, env_prefix",Aaron Olson
b8f2c9b8-70bb-4f49-be10-a393def219a9,2024 YTD PX Revenue.csv,2024 YTD PX Revenue,remove_extension,GSTV-Domo-Admin
b11ec13f-007d-4946-bb05-e2cb13f4905e,2024-01 - DXPromote Proof Of Play Delay Analysis - Part 1,2024-01 - DXPromote Proof of Play Delay Analysis - Part 1,casing_fix,Aaron Olson
d6643823-f919-49eb-b677-a88d9fdcf8e6,2025_stats_2025-12-29-1848.xlsx,2025 stats 2025-12-29-1848,"remove_extension, underscore_to_space",Bill Binkiewicz
3e4cad28-7096-4b05-907c-57a9f1612049,2026 YTD Exchange Revenue - PX.csv,2026 YTD Exchange Revenue - PX,remove_extension,GSTV-Domo-Admin
3739eb68-8bd4-417f-bc56-f5ba0b225f1a,2026 YTD Revenue - Place Exchange.csv,2026 YTD Revenue - Place Exchange,remove_extension,GSTV-Domo-Admin
e94edea6-90e0-48b0-96f3-8ae67545ddf4,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots,TEST - RPA Conversion for Vistar - V2.0 - 4 Slots,env_prefix,GSTV-Domo-Admin
f2918828-827e-4daf-8775-297dca100443,[DELETE] Select Distinct Advertisers Before Grouping,DEPRECATED - Select Distinct Advertisers Before Grouping,env_prefix,GSTV-Domo-Admin
cf66f897-1553-48cf-90e6-1140e1851b73,[DEV] - Ad Ops - Programmatic Campaign Tracking,DEV - Ad Ops - Programmatic Campaign Tracking,env_prefix,Antonio Bowens
95e0bc4e-0877-4171-9a84-3a59c4a19e92,[DEV] Ad Ops - Programmatic Opportunity Tracking,DEV - Ad Ops - Programmatic Opportunity Tracking,env_prefix,GSTV-Domo-Admin
bf852834-f469-4637-8496-da7be548b107,[DNU] Daily Programmatic Exchange Revenue V2,DEPRECATED - Daily Programmatic Exchange Revenue V2,env_prefix,GSTV-Domo-Admin
92a852b6-7426-46b4-8c1a-d24b2dcc3854,[Flag for Deletion] CA Tribal Council Pre-Processed RPA Schedule,DEPRECATED - CA Tribal Council Pre-Processed RPA Schedule,env_prefix,Al Minetola
0ca6a87a-1197-4047-81d5-99ad855ced7e,[Production] Export - California Tribal Council - RPA Conversion,PROD - Export - California Tribal Council - RPA Conversion,env_prefix,Al Minetola
f0bfe68e-fa5f-4c99-968d-bba298c1de39,[Production] RPA Conversion 3.1 - Wayne Daypart Splits,PROD - RPA Conversion 3.1 - Wayne Daypart Splits,env_prefix,Al Minetola
3e0fd17c-1f9d-496a-8615-77d6a404e35e,[TEMP] - RPA - Speedway Managed Service - IO Site Lists,DEV - RPA - Speedway Managed Service - IO Site Lists,env_prefix,GSTV-Domo-Admin
4094861a-cfb2-4a05-8bf2-4dd5354bc6a0,[TEMP] [TEST - VEGAS] IO Site List - Test Data,TEST - Vegas - IO Site List - Test Data,env_prefix,GSTV-Domo-Admin
efcac41a-2f70-4e67-8365-aeb24c7123d1,[TEMP] Vegas - RPAs,DEV - Vegas - RPAs,env_prefix,GSTV-Domo-Admin
6c790e34-8d58-46bd-beec-0e31f256aa33,[TEST - VEGAS] Managed Service Test IOs,TEST - Vegas - Managed Service Test IOs,env_prefix,GSTV-Domo-Admin
f2ab47ef-c8ea-4fbd-a35a-303636378f41,[Test Casey's] IO Site List,TEST - Casey's - IO Site List,env_prefix,GSTV-Domo-Admin
a8ebfcca-8cfd-42fe-aa9d-870acc3dba75,[TEST] [VEGAS] RPA Header DF,TEST - Vegas - RPA Header DF,env_prefix,GSTV-Domo-Admin
