column_name,column_type,dataset_count,example_datasets,definition,data_steward,status
GTVID,STRING,677, Project Krypton - Transaction Comparison To Retailer Data | # Active Sites with RPA Creatives | # Active Sites with RPA Creatives,"GSTV unique site identifier (e.g., ATW149). Primary key for gas station locations in the GSTV network",,confluence
Network,STRING,619,# Sites with RPA Creatives | 2024 YTD PX Revenue.csv | 2025 YTD PX Revenue - Patch,"Logical network grouping for the site (e.g., Wayne, Dover, Gilbarco, Speedway)",,confluence
ID - Gbase,STRING,568, Master Station List - NOC Notes |  TEMP - Analysis - Transactions - MoM By Site | # Active Sites with RPA Creatives,[GBase] Unique site identifier in GSTV's GBase system,,confluence
Status,STRING,489,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,"Operational status of the site/screen (e.g., Active, Inactive)",,confluence
Date,DATE,436,2024 YTD PX Revenue.csv | 2025 YTD PX Revenue - Patch | 2026 YTD Exchange Revenue - PX.csv,Date (YYYY-MM-DD) for which revenue metrics are recorded,,confluence
Retailer,STRING,433, Project Krypton - Transaction Comparison To Retailer Data | # Active Sites with RPA Creatives | # Active Sites with RPA Creatives,Retail chain that owns the gas station location,,confluence
DMA,STRING,416,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Designated Market Area code where the site resides,,confluence
_BATCH_LAST_RUN_,DATETIME,410,28-Day Gilbarco Vistar Advertisements by hour of week | [DEV] Ad Ops - Programmatic Opportunity Tracking | [DNU] RPA Conversion for Vistar V2.1 - Uploaded RPAs Not Matched to Site Data,[Domo] Timestamp of the most recent data ingestion batch run,,draft
State,STRING,406,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,U.S. state abbreviation where the site is located,,confluence
City,STRING,384,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,City name for site location,,confluence
Street,STRING,338,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Street address of the site location,,confluence
Program,STRING,316,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,"Channel or SSP program through which the inventory was sold (e.g., IOTV2, Standard ICS)",,confluence
ID - Network Designated,STRING,304,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Legacy network-designation ID assigned by the network operator,,confluence
_BATCH_ID_,DOUBLE,300,28-Day Gilbarco Vistar Advertisements by hour of week | [DEV] Ad Ops - Programmatic Opportunity Tracking | [V-RAP-AND-DE] Development - Traffic Instructions,[Domo] Internal batch identifier for data ingestion tracking,,draft
Venue ID,STRING,267, TEMP - Vistar Diagnostic Insights - Q3 2024 | [AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots | [DNU] - RPA Conversion for Vistar 2.1 - Convert to 4 Slots,"[Vistar] Unique identifier for a gas station venue/location, typically used in programmatic advertising contexts",,draft
Latitude,DOUBLE,247,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Latitude of the site (WGS84 coordinate system),,confluence
Longitude,DOUBLE,247,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Longitude of the site (WGS84 coordinate system),,confluence
Brand - Fuel,STRING,243,# Sites with RPA Creatives | Active Site List (TPP) | Active Wayne IOTV without IOTV ID - Stage 1,Fuel brand at the property (if applicable),,confluence
ZIP,STRING,223,# Sites with RPA Creatives | [V-RAP-AND-DE] Production - Campaign Validated Impressions - December 2023 | Active Site List (TPP),5-digit ZIP code for the site location,,confluence
DMA Rank,DOUBLE,217,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Market size rank of the DMA (1 = largest),,confluence
Venue Name,STRING,214, TEMP - Vistar Diagnostic Insights - Q3 2024 | [DNU] Daily Programmatic Exchange Revenue V2 | [Test] Fix Vistar Venue Avails for Sell Through V2 ,Display name of the gas station venue/location,,draft
Revenue,DOUBLE,214,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD | adhoc.csv,"Advertising revenue generated, in USD",,draft
County,STRING,209,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,County name for site location,,confluence
ID - TDLinx,STRING,209,# Sites with RPA Creatives | 4 digit sites | 5 digit sites,Nielsen TDLinx location identifier for the convenience store/fuel retail location,,confluence
Impressions,DOUBLE,208,[DNU] Daily Programmatic Exchange Revenue V2 | Ad Ops - Campaigns - Launch Monitoring | Ad Serving - Flexible - ICS Sites - November 2024 - February 2025 MTD,Number of ad impressions delivered during the period,,confluence
Brand - C-Store,STRING,203,# Sites with RPA Creatives | Active Site List (TPP) | Active Wayne IOTV without IOTV ID - Stage 1,Convenience store brand at the property (if applicable),,confluence
