term,acronym,definition,domain,category
1st Party Data,,Information or data collected directly by website publishers or retailers about their site visitors or customers. GSTV can ingest client 1st party data for targeting.,Data & Analytics,Data
3rd Party Data,,Data acquired from sources GSTV does not have a direct relationship with for data collection. Aggregated and published data used for targeting ads and marketing messages.,Data & Analytics,Data
ACR,ACR,Automatic content recognition — identification technology to recognize content played on a media device.,Technology,Technology
Active Site,,Currently installed location that is playing video and returning playback data.,Sites & Locations,Network
Acxiom,,Legacy data management company connecting anonymized 1st party data to GSTV exposure for measuring campaign impact on lift in sales or custom KPIs.,Data & Analytics,Measurement
Ad Adjacency,,Appears next to preferred content. Can also refer to conflicting advertisements preceding or following another piece.,Campaigns & Delivery,Ad Operations
Ad Log,,Play data with exact timestamp associated with each play. Requested via the Data Engineering team.,Data & Analytics,Ad Operations
Ad Server,,Central decisioning stack for creative rotation pacing tracking and priority. Can host a unified auction/mediation.,Technology,Technology
AVOD,AVOD,Ad-Supported Video-On-Demand — free platforms and subscription streaming services that serve ads.,Industry,Media
AdBook,,GSTV Order Management System (OMS) for proposal creation and inventory management.,Technology,Sales
Added Value,,Products/services bonused to an advertiser to incentivize a buy such as tags research studies share of voice or additional impressions.,Campaigns & Delivery,Sales
Addressable TV,,Household-level targeting across MVPDs/CTVs using privacy-safe IDs and frequency management.,Industry,Media
AdIntel,,Legacy competitive advertising information provider. Replaced by MediaRadar.,Data & Analytics,Competitive
Ads.cer 2.0,,"Cryptographic signing to authenticate ad requests for supply chain integrity. Also known as Authenticated Connections.",Technology,Programmatic
Advanced TV,,Umbrella term for CTV addressable shoppable/interactive formats and data-driven delivery across screens.,Industry,Media
Agency Events,,Events held at local agencies or holding company headquarters to deepen relationships and showcase offerings.,Campaigns & Delivery,Marketing
AggData,,Legacy online subscription service for obtaining data client lists used for mapping. Replaced by Retail Stat.,Data & Analytics,Data
Applause Control Center,,Site content and performance management platform used by Gilbarco for Applause media orders on non-ICS FPIV hardware.,Technology,Network
App Download Lift,,Attribution measurement of a campaign incremental impact on app downloads.,Data & Analytics,Measurement
Applause Network,ATV,"Predominantly 10-inch pump screen on Gilbarco dispensers. Transaction or loop-based depending on hardware. Platforms include FlexPay II, FPIV, FP6.",Sites & Locations,Network
ASO/ASC,ASO/ASC,Authorized Service Organization/Company — technicians who install and service fuel dispensers and payment hardware.,Sites & Locations,Network
Asset,,Video or image provided by a client or retailer for content or creative production.,Campaigns & Delivery,Creative
Asset ID,,Internal unique number assigned by Vistar to every asset uploaded regardless of play status. Also called creative ID.,Programmatic,Creative
Attribution,,Data analysis connecting individual campaign exposure to actual sales or conversions using anonymized aggregated personal data.,Data & Analytics,Measurement
Audience,,People or market segment targeted by an advertising message or campaign.,Data & Analytics,Sales
Bandwidth,,Amount of content that can be transmitted over a network at a given time.,Technology,Technology
Bidding Timeout Rate,BTR,Share of auctions lost to late or no responses. Latency KPI for DSPs.,Programmatic,Programmatic
Billboard Sponsorship,,Advertiser sponsoring a segment of content with a brand logo on intro/outro screens.,Campaigns & Delivery,Sales
Brand Development Index,BDI,"Metric quantifying relative performance of a brand within specified customer groups. BDI = (% Market Brand Sales / % Market Population) x 100.",Data & Analytics,Analytics
Brand Guidelines,,Rules that define how a brand should look sound and be presented including approved logos colors fonts imagery and tone of voice.,Campaigns & Delivery,Marketing
Brand Lift Study,,Measures branding impact of an ad on consumers awareness opinion and purchase intent. MFour is GSTV preferred partner.,Data & Analytics,Measurement
Bumper,,Short video segment (3-5 seconds) letting a customer know they are watching GSTV programming at the pump.,Campaigns & Delivery,Creative
