dataset_id,dataset_name,existing_description,suggested_description,source,owner
2072d58f-6865-4c76-b835-8695d89cae02,Master Station List - NOC Notes,,Master list of all GSTV gas station sites with location and operational attributes,inferred,Aaron Olson
3b43e499-8075-4cf3-b845-4f2ca721edce,Project Krypton - Transaction Comparison To Retailer Data,,Transaction data compared against retailer-reported figures for reconciliation,inferred,Aaron Olson
be0f6b19-48e4-4b2d-bd1b-04aeb8fc2715,TEMP - Analysis - Transactions - MoM By Site,,,,Aaron Olson
60522f4f-b1ca-4d44-a91f-2720e86cf0fd,TEMP - Vistar Diagnostic Insights - Q3 2024,,Daily diagnostic data from Vistar for monitoring programmatic ad delivery health,inferred,Aaron Olson
63369109-5c5d-4e6c-a96b-492aa9ffae32,# Active Sites with RPA Creatives,,Sites currently running RPA (Retailer Promoted Advertising) creatives,inferred,GSTV-Domo-Admin
d543baf8-5f3e-4b53-9f5b-a14bac7234d1,# Active Sites with RPA Creatives,,Sites currently running RPA (Retailer Promoted Advertising) creatives,inferred,GSTV-Domo-Admin
9e89e988-87a4-466d-8a5a-1b4ce07379c0,# Sites with RPA Creatives,,Sites currently running RPA (Retailer Promoted Advertising) creatives,inferred,GSTV-Domo-Admin
b8f2c9b8-70bb-4f49-be10-a393def219a9,2024 YTD PX Revenue.csv,,Year-to-date programmatic exchange revenue,inferred,GSTV-Domo-Admin
b11ec13f-007d-4946-bb05-e2cb13f4905e,2024-01 - DXPromote Proof Of Play Delay Analysis - Part 1,,DXPromote Proof of Play data for retailer-promoted content verification,inferred,Aaron Olson
859213a6-d0ba-40cf-a331-a336727fe061,2025 YTD PX Revenue - Patch,,Year-to-date programmatic exchange revenue,inferred,GSTV-Domo-Admin
d6643823-f919-49eb-b677-a88d9fdcf8e6,2025_stats_2025-12-29-1848.xlsx,,Uploaded Excel spreadsheet data,inferred,Bill Binkiewicz
3e4cad28-7096-4b05-907c-57a9f1612049,2026 YTD Exchange Revenue - PX.csv,,Year-to-date programmatic exchange revenue,inferred,GSTV-Domo-Admin
